DICIONARIO,,,,,,,,,,
PALAVRA/SINGULAR,,SIGNIFICADO/TRADUÇÃO,,CLASE,,PLURAL,,PRONÚNCIA,USO,AMBIENTE
Mōa-mosha,,Nadar,,Verbo,,,,,Caminhar (Mosha) na água (Mōa).,
Aha-rata,,Pular / Saltar,,Verbo,,,,,Levantar (Aha) o pé (Rata).,
Sema-gura,,Cantar,,Verbo,,,,,Dar voz (Sema) à canção (Gura).,
Sema-nisha,,Gritar,,Verbo,,,,,Voz grande.,
Lisha-mosha,,Dançar,,Verbo,,,,,Caminhar alegre/sorrindo (Lisha).,
Tia-muna,,Matar (assassinar),,Verbo,,,,,Dar (Tia) a morte (Muna).,
Tia-onha,,Curar (magia ou medicina),,Verbo,,,,,Dar a vida (Onha).,
Ua-gema,,Procurar / Buscar,,Verbo,,,,,Querer (Ua) encontrar (Gema).,
Raha-holo,,Limpar completamente,,Verbo,,,,,Lavar tudo (Holo).,
Tia-oma,,Sujar,,Verbo,,,,,Dar lama (Oma).,
Ama-bra,,Abraçar,,Verbo,,,,,Segurar (Ama) o braço (Bra).,
Kouji-lisha,,Sorrir,,Verbo,,,,,Rir pequeno.,
Shota-shea,,Cortar lenha,,Verbo,,,,,Fatiar madeira.,
Jia-tebta,,Pescar,,Verbo,,,,,Pegar peixe.,
Tami-afia,,Assar / Preparar carne,,Verbo,,,,,Cozinhar a carne.,
Kouji-faka,,Punhal / Adaga,,Subst. Masc.,,,,,Faca pequena (fácil de esconder).,
Misha-mata,,Machado de Batalha,,Subst. Masc.,,,,,Martelo/Machado de lutar.,
Nisha-romena,,Pique / Lança longa,,Subst. Fem.,,,,,Usada contra cavalaria.,
Joa-hopsa,,Capacete / Elmo,,Subst. Neutro,,,,,Armadura de cabeça.,
Tota-hebsa,,Luva / Manopla,,Subst. Fem.,,,,,Roupa de mão.,
Rata-aroma,,Bota de Couro,,Subst. Fem.,,,,,Sapato resistente.,
Mato-moshaia,,Tenda militar,,Subst. Fem.,,,,,Acampamento de soldado.,
Hapa-mato,,Espião,,Subst. Masc.,,,,,Soldado do oculto/segredo (Hapa).,
Mato-uro,,General / Comandante,,Subst. Masc.,,,,,O Rei dos soldados.,
Matu-joma,,Tratado de Paz / Aliança,,Subst. Neutro,,,,,O livro (Joma) da Paz (Matu).,
Heka-kota,,Magia de Fogo / Bola de Fogo,,Subst. Neutro,,,,,Magia do elemento fogo.,
Heka-sana,,Magia de Cura,,Subst. Neutro,,,,,Feitiço médico.,
Heka-tiu,,Magia de Vento (Lufada),,Subst. Neutro,,,,,Magia de empurrar.,
Heka-kaki,,Necromante / Mago das trevas,,Subst. Masc.,,,,,Mago da escuridão.,
Rasta-naya,,Clarividência / Visão do futuro,,Subst. Fem.,,,,,Ver (Naya) o amanhã (Rasta).,
Senofa-derva,,Maldição de Sangue,,Subst. Fem.,,,,,Feitiço negro ligado à linhagem.,
Heka-tora,,Círculo Mágico,,Subst. Fem.,,,,,Fronteira mágica de proteção.,
Heka-joma,,Grimório / Livro de Feitiços,,Subst. Neutro,,,,,Livro de poder.,
Soka-ka,,Invocação,,Subst. Fem.,,,,,Puxar (Soka) uma alma/espírito (Ka).,
Heka-mōa,,Poção mágica,,Subst. Neutro,,,,,Água com poder.,
Sashfa-huo,,Semana,,Subst. Fem.,,,,,Sete dias.,
She-rompa,,Século,,Subst. Masc.,,,,,Cem anos.,
Huo-bera,,Madrugada / Alvorada,,Subst. Masc.,,,,,"O dia ""novo"".",
Kau-huo,,Meio-dia,,Subst. Masc.,,,,,O meio do dia.,
Kau-ushē,,Meia-noite,,Subst. Fem.,,,,,O meio da noite.,
Iota-pasa,,Avô,,Subst. Masc.,,,,,Pai velho.,
Mava-pasa,,Avó,,Subst. Fem.,,,,,Mãe velha.,
Sona-iota,,Tio,,Subst. Masc.,,,,,Irmão do pai (ou da mãe).,
Sōni-mava,,Tia,,Subst. Fem.,,,,,Irmã da mãe.,
Shiro-sona,,Sobrinho,,Subst. Masc.,,,,,Filho do irmão(ã).,
Shira-sona,,Sobrinha,,Subst. Fem.,,,,,Filha do irmão(ã).,
Alu-shibra,,Primo / Parente Jovem,,Subst. Neutro,,,,,Jovem amigo/aliado da família.,
Mava-an,,Órfão / Órfã,,Subst. Neutro,,,,,Aquele sem mãe/pais.,
Shiba-muna,,Viúvo(a),,Subst. Neutro,,,,,A união (Shiba) rompida pela morte (Muna).,
Aia-shiba,,Casamento / Família unida,,Subst. Fem.,,,,,A casa unida.,
Huma-bera,,Ansiedade / Tensão,,Subst. Masc.,,,,,Medo do novo/do que virá.,
Kora-naya,,Esperança,,Subst. Fem.,,,,,A coragem de ver (o futuro).,
Bala-kaki,,Inveja / Ciúme,,Subst. Fem.,,,,,"O ""olho escuro"".",
Joa-artē,,Orgulho / Altivez,,Subst. Masc.,,,,,Cabeça alta.,
Hēt-kash,,Culpa / Arrependimento,,Subst. Fem.,,,,,Dor no coração.,
Hēt-raha,,Perdão / Misericórdia,,Subst. Masc.,,,,,Lavar o coração.,
Mina-snava,,Dúvida / Incerteza,,Subst. Fem.,,,,,Mente dupla (dividida).,
Mina-wa,,Certeza,,Subst. Fem.,,,,,Mente única.,
Rētia-na,,Boa Sorte / Benção,,Subst. Fem.,,,,,Sorte pura (Rētia) boa (Na).,
Rētia-ku,,Azar / Maldição,,Subst. Fem.,,,,,Sorte ruim (Ku).,
Rina-na,,Honra / Glória,,Subst. Fem.,,,,,Nome bom.,
Rina-kaki,,Desonra / Vergonha,,Subst. Fem.,,,,,Nome manchado/escuro.,
Tumb-nisha,,Gordo / Farto,,Adjetivo,,,,,Barriga grande.,
Kas-naya,,Magro / Famélico,,Adjetivo,,,,,Osso à vista (visível).,
Rata-artē,,Alto (Pessoa),,Adjetivo,,,,,Pé alto.,
Rata-kouji,,Baixo (Pessoa),,Adjetivo,,,,,Pé pequeno.,
Jom-an,,Fraco / Exausto,,Adjetivo,,,,,Sem força.,
Soma-an,,Acordado / Desperto,,Adjetivo,,,,,Sem sono.,
Hekta-feno,,Bêbado / Ébrio,,Adjetivo,,,,,Cerveja demais.,
Hekta-an,,Sóbrio,,Adjetivo,,,,,Sem cerveja (ou vinho).,
Joa-sura,,Louco / Insano,,Adjetivo,,,,,Cabeça vazia/morta.,
Joa-joma,,Inteligente / Sábio,,Adjetivo,,,,,Cabeça de livro (cheia de conhecimento).,
Mina-bula,,Burro / Tolo,,Adjetivo,,,,,Mente cega (não afiada).,
Huma-feno,,Covarde,,Adjetivo,,,,,Medo demais.,
Ona-sodia,,Muro de Pedra,,Subst. Fem.,,,,,Muralha feita de rocha.,
Hroa-mōa,,Fosso (de castelo),,Subst. Masc.,,,,,Buraco/Caverna com água.,
Hira-kaki,,Beco / Viela,,Subst. Fem.,,,,,Rua escura.,
Hato-aia,,Estábulo,,Subst. Neutro,,,,,Casa do cavalo.,
Benipa-hroa,,Mina (de minérios),,Subst. Fem.,,,,,Caverna de ferro.,
Naya-turia,,Torre de Vigia,,Subst. Fem.,,,,,Torre de ver.,
Kas-ona,,Estátua,,Subst. Fem.,,,,,"O ""osso"" de pedra.",
Muna-ona,,Túmulo / Lápide,,Subst. Fem.,,,,,Pedra da morte.,
Shea-mosha,,Carruagem / Vagão,,Subst. Fem.,,,,,Madeira que anda.,
Zaji-uola,,Vitral / Janela de vidro,,Subst. Fem.,,,,,Janela de cristal.,
Kalk-satera,,Moeda de Cobre,,Subst. Fem.,,,,,Dinheiro dos pobres (Kalk = Cobre).,
Nuna-wota,,Semente,,Subst. Fem.,,,,,Raiz verde (que vai nascer).,
Oma-hrēra,,Cogumelo,,Subst. Masc.,,,,,Flor da lama.,
Wotia-sana,,Erva medicinal,,Subst. Fem.,,,,,Folha de ajudar/curar.,
Oika-nuna,,Trigo / Grãos,,Subst. Masc.,,,,,A raiz (base) da comida.,
Uma-tresha,,Maçã (ou fruta vermelha),,Subst. Neutro,,,,,Fruta vermelha.,
Noha-shēn,,Cipó / Hera trepadeira,,Subst. Fem.,,,,,Corda da árvore.,
Shoita-valis,,Duna de areia,,Subst. Fem.,,,,,Montanha de areia.,
Toyoma,,Península / Cabo,,Subst. Masc.,,,,,País/Terra no mar.,
Yoma-kopa,,Baía / Golfo,,Subst. Fem.,,,,,Porta do mar.,
Siua-he,,Estrela Cadente,,Subst. Fem.,,,,,Estrela que cai.,
Ioha-kama,,Eclipse Lunar,,Subst. Fem.,,,,,Lua preta/escura.,
Rêa-kama,,Eclipse Solar,,Subst. Masc.,,,,,Sol escuro.,
Mōa-jafra,,Geada / Orvalho frio,,Subst. Neutro,,,,,Água de gelo.,
Kas-sifa,,Espada de Osso,,Subst. Fem.,,,,,Arma de bárbaros/tribais.,
Sote-noha,,Balista (Arco gigante),,Subst. Fem.,,,,,Flecha de corda pesada.,
Benipa-noha,,Corrente,,Subst. Fem.,,,,,Corda de ferro.,
Aba-benipa,,Fechadura / Cadeado,,Subst. Masc.,,,,,"O ""abrir"" de ferro.",
Kota-kas,,Brasa viva,,Subst. Fem.,,,,,O osso do fogo.,
Mōa-botia,,Cantil / Odre de água,,Subst. Fem.,,,,,Garrafa de água.,
Tami-faka,,Cutelo / Faca de cozinha,,Subst. Masc.,,,,,Faca de cozinhar.,
Oika-shea,,Tigela / Cumbuca,,Subst. Fem.,,,,,Madeira da comida.,
Raha-mōa,,Balde / Bacia,,Subst. Masc.,,,,,Água de lavar.,
Tota-shota,,Tesoura,,Subst. Fem.,,,,,Mão de fatiar/cortar.,
Raha-shea,,Vassoura,,Subst. Fem.,,,,,Madeira de limpar/lavar.,
Kaba-joa,,Capuz,,Subst. Masc.,,,,,Capa da cabeça.,
Nif-hebsa,,Cachecol / Manta de pescoço,,Subst. Masc.,,,,,Roupa do sopro/respiração.,
Bra-nuba,,Bracelete (de Ouro),,Subst. Masc.,,,,,Joia de braço.,
Lasa-benipa,,Fivela de cinto,,Subst. Fem.,,,,,O ferro do cinto.,
Hebsa-jafa,,Casaco pesado,,Subst. Masc.,,,,,Roupa para o frio.,
Joa-he,,Curvar-se / Reverenciar,,Verbo,,,,,Cair a cabeça.,
Kele-he,,Ajoelhar-se,,Verbo,,,,,Cair o joelho.,
Bala-klo,,Piscar / Ignorar algo,,Verbo,,,,,Fechar o olho.,
Sema-klo,,Calar-se / Silenciar,,Verbo,,,,,Fechar a voz.,
Mina-aba,,Entender / Aprender,,Verbo,,,,,Abrir a mente.,
Joma-tamia,,Ensinar,,Verbo,,,,,"""Fazer o livro"" na mente do outro.",
Mato-tamia,,Treinar (para guerra),,Verbo,,,,,Fazer o soldado.,
Satera-tamia,,Lucrar / Enriquecer,,Verbo,,,,,Fazer moeda.,
Tota-jia,,Furtar / Puxar rápido,,Verbo,,,,,Pegar com a mão (mais sorrateiro que Zuva).,
Muna-he,,Desmaiar,,Verbo,,,,,Cair morto (metafórico).,
Onha-koto,,Ressuscitar / Acordar,,Verbo,,,,,Voltar para a vida.,
Dira-tia,,Torturar / Machucar,,Verbo,,,,,Dar dor.,
Hapa-saja,,Sussurrar,,Verbo,,,,,Falar oculto.,
Zuva-nahta,,Resgatar / Salvar,,Verbo,,,,,Proteger do saque/morte.,
Nuba-hamata,,Joalheiro / Ourives,,Subst. Masc.,,,,,Ferreiro de ouro.,
Yara-mato,,Marinheiro / Pirata,,Subst. Masc.,,,,,Soldado do barco.,
Oika-hamsha,,Padeiro / Cozinheiro chefe,,Subst. Masc.,,,,,Construtor de pão.,
Hepa-eshot,,Dono de Taverna,,Subst. Masc.,,,,,Comerciante de vinho.,
Aia-nayato,,Guarda de Castelo,,Subst. Masc.,,,,,Vigia da casa.,
Zarakura-uro,,Imperador Absoluto,,Subst. Masc.,,,,,Rei do continente inteiro.,
Kruk-muia,,Quimera / Fera de Leão,,Subst. Masc.,,,,,Leão monstruoso.,
Hato-woba,,Unicórnio (ou Cavalo puro),,Subst. Masc.,,,,,Cavalo branco.,
Tebta-nisha,,Baleia / Monstro Marinho,,Subst. Fem.,,,,,Peixe enorme.,
Hofa-yoma,,Serpente Marinha,,Subst. Fem.,,,,,Cobra do mar.,
Muia-kama,,Pantera / Fera das sombras,,Subst. Fem.,,,,,Leão preto.,
Uonsha-bera,,Filhote de Lobo,,Subst. Masc.,,,,,Lobo novo.,
Nuter,,Sagrado / Divino,,Adjetivo,,,,,Da raiz egípcia para deuses (Neter).,
Maati,,Balança / Justiça,,Subst. Fem.,,,,,Ligado a Maa (Verdade).,
Sesha,,Escriba / Sacerdote letrado,,Subst. Masc.,,,,,Aquele que domina o Joma.,
Basti,,Incenso / Perfume sagrado,,Subst. Neutro,,,,,Usado nos rituais de Kalinor.,
Akhi,,Guardião / Espírito iluminado,,Subst. Masc.,,,,,Diferente do fantasma ruim (Kashua).,
Wasa,,Cetro / Cajado de poder,,Subst. Masc.,,,,,O que o Uro ou o Heka carrega.,
Jeda,,Pilar / Coluna,,Subst. Fem.,,,,,Sustenta o templo (Erpe).,
Saba,,Portão divino / Arco sagrado,,Subst. Masc.,,,,,Entrada de um lugar místico.,
Anpu,,Chacal / Cão do deserto,,Subst. Masc.,,,,,Animal ligado às tumbas.,
Duata,,Purgatório / O Submundo,,Subst. Neutro,,,,,Para onde os mortos vão.,
Zali,,Altar (de sacrifício ou oração),,Subst. Masc.,,,,,Centro religioso.,
Kori,,Âmago / Essência profunda,,Subst. Fem.,,,,,"O ""fundo"" da alma de alguém.",
Peni,,Penitência / Jejum,,Subst. Fem.,,,,,Sacrifício para os deuses.,
Sekem,,Autoridade / Presença imponente,,Subst. Masc.,,,,,A aura de um governante.,
Khen,,Bote / Canoa rápida,,Subst. Fem.,,,,,Barco menor que Yara.,
Rifu,,Mastro (de navio),,Subst. Masc.,,,,,Onde se prende a Vela.,
Lova,,Leme (Direção),,Subst. Masc.,,,,,A direção do barco.,
Koru,,Âncora,,Subst. Fem.,,,,,O peso que segura o barco.,
Vash,,Maré / Corrente oceânica,,Subst. Fem.,,,,,O ritmo do mar (Yoma).,
Tasha,,Mapa náutico / Planta,,Subst. Fem.,,,,,Específico para desenho técnico.,
Suli,,Rastro / Sulco na terra ou água,,Subst. Masc.,,,,,O caminho deixado para trás.,
Tabi,,Tábua / Prancha,,Subst. Fem.,,,,,Pedaço cortado de Shea (Madeira).,
Zeto,,Azeite / Óleo,,Subst. Neutro,,,,,Usado para cozinhar e iluminar.,
Gali,,Onda gigante (Tsunami),,Subst. Fem.,,,,,Diferente da ondinha normal da praia.,
Baku,,Ofício / Trabalho braçal,,Subst. Neutro,,,,,O esforço de um camponês.,
Pera,,Pérola,,Subst. Fem.,,,,,A joia que vem da água.,
Mōma,,Água Termal / Chá,,Subst. Neutro,,,,,Fusão de Mōa (Água) + Homa (Quente).,
Uraia,,Palácio Real,,Subst. Fem.,,,,,Fusão de Uro (Rei) + Aia (Casa).,
Hekato,,Mago de Batalha / Inquisidor,,Subst. Masc.,,,,,Fusão de Heka (Magia) + Mato (Soldado).,
Jokash,,Enxaqueca / Preocupação,,Subst. Fem.,,,,,Fusão de Joa (Cabeça) + Kash (Dor).,
Kakila,,Visão Noturna,,Subst. Fem.,,,,,Fusão de Kaki (Trevas) + Bala (Olho).,
Rēhuo,,Verão / Estação do Sol,,Subst. Masc.,,,,,Fusão de Rêa (Sol) + Huo (Dia).,
Jafira,,Inverno / Era do Frio,,Subst. Fem.,,,,,Fusão de Jafa (Frio) + Sira (Estação).,
Sunjoma,,Enciclopédia / Compêndio,,Subst. Masc.,,,,,Fusão de Suna (Saber) + Joma (Livro).,
Ushoma,,Ceia / Jantar,,Subst. Neutro,,,,,Fusão de Ushē (Noite) + Woma (Comer).,
Valona,,Pedregulho maciço,,Subst. Fem.,,,,,Fusão de Valis (Montanha) + Ona (Pedra).,
Hapsaja,,Sussurro / Segredo,,Subst. Fem.,,,,,Fusão de Hapa (Segredo) + Saja (Falar).,
Onamuna,,Ciclo da Vida / Reencarnação,,Subst. Fem.,,,,,Fusão de Onha (Vida) + Muna (Morte).,
Tebyara,,Barco Pesqueiro,,Subst. Fem.,,,,,Fusão de Tebta (Peixe) + Yara (Barco).,
Kotoka,,Fogueira de acampamento,,Subst. Fem.,,,,,Fusão de Kota (Fogo) + Toka (Tocha).,
Bazaia,,Loja / Estabelecimento,,Subst. Fem.,,,,,Fusão de Baza (Mercado) + Aia (Casa).,
Kalruka,,Aliança (de casamento),,Subst. Masc.,,,,,Fusão de Kala (Dedo) + Ruka (Anel).,
Nahtodia,,Baluarte / Fortaleza invencível,,Subst. Fem.,,,,,Fusão de Nahta (Proteger) + Sodia (Muralha).,
Satola,,Cofre / Tesouraria,,Subst. Fem.,,,,,Fusão de Satera (Moeda) + Lola (Bolsa).,
Humruk,,Pesadelo,,Subst. Masc.,,,,,Fusão de Huma (Medo) + Kruk (Monstro).,
Masaja,,Juramento / Promessa solene,,Subst. Fem.,,,,,Fusão de Maa (Verdade) + Saja (Falar).,
Jolsaja,,Calúnia / Difamação,,Subst. Fem.,,,,,Fusão de Jol (Mentira) + Saja (Falar).,
Nishōa,,Oceano / Mar aberto,,Subst. Masc.,,,,,Fusão de Nisha (Grande) + Mōa (Água).,
Kousifa,,Adaga oculta,,Subst. Fem.,,,,,Fusão de Kouji (Pequeno) + Sifa (Espada).,
Tepiala,,Anjo / Mensageiro de Kalinor,,Subst. Masc.,,,,,Fusão de Tepia (Céu) + Hala (Pássaro).,
Minash,,Trauma / Loucura,,Subst. Masc.,,,,,Fusão de Mina (Mente) + Kash (Dor).,
Zabatiu,,Tornado / Ciclone,,Subst. Masc.,,,,,Fusão de Zaba (Tempestade) + Tiu (Vento).,
Munshota,,Carrasco / Executor,,Subst. Masc.,,,,,Fusão de Muna (Morte) + Shota (Cortar).,
Uromina,,Decreto Real,,Subst. Fem.,,,,,Fusão de Uro (Rei) + Mina (Pensamento).,
Shēnkaki,,Bosque Assombrado,,Subst. Fem.,,,,,Fusão de Shēn (Árvore) + Kaki (Trevas).,
Kaiabera,,Colônia / Terra Nova,,Subst. Fem.,,,,,Fusão de Kaia (Terra) + Bera (Nova).,
Oikatami,,Cozinheiro chefe,,Subst. Masc.,,,,,Pão/Comida + Criar.,
Sheahamsha,,Marceneiro / Lenhador,,Subst. Masc.,,,,,Madeira + Construtor.,
Hekajoma,,Grimório Mágico,,Subst. Neutro,,,,,Magia + Livro.,
Aiskopa,,Portal Mágico / Espelho portal,,Subst. Fem.,,,,,Espelho + Passagem.,
Kaiamōa,,Pântano,,Subst. Neutro,,,,,Terra + Água.,
Siuahe,,Meteoro / Asteroide,,Subst. Fem.,,,,,Estrela + Cair.,
Nebato,,Governador provincial,,Subst. Masc.,,,,,Lorde + Território.,
Pitesote,,Arqueiro de exército,,Subst. Masc.,,,,,Arco + Flecha.,
Saterako,,Mercador rico,,Subst. Masc.,,,,,Moeda + Ter (Aquele que tem moedas).,
Mōamosha,,Nadador,,Subst. Masc.,,,,,Água + Caminhar.,
Huozura,,Pôr do sol,,Subst. Masc.,,,,,Dia + Final.,
Hajahuo,,Madrugada,,Subst. Fem.,,,,,Antes + Dia.,
Joato,,Capital do Reino,,Subst. Fem.,,,,,Cabeça + País.,
Aiamora,,Masmorra,,Subst. Fem.,,,,,Casa + Prender.,
Sitamuna,,Cadeira de Execução,,Subst. Fem.,,,,,Cadeira + Morte.,
Hekakaki,,Necromante / Bruxo sombrio,,Subst. Masc.,,,,,Magia + Trevas.,
Joahopsa,,Capacete de guerra,,Subst. Neutro,,,,,Cabeça + Armadura.,
Ratabera,,Início / Primeiro passo,,Subst. Masc.,,,,,Pé + Novo.,
Semanisha,,Grito de guerra,,Subst. Fem.,,,,,Voz + Grande.,
Mōabala,,Lágrima,,Subst. Fem.,,,,,Água + Olho.,
Uro-Kalinor,,Rei-Sacerdote (Líder da Fé),,Título,,,,,Não se funde o título humano com o Deus.,
Kaia-Maa,,O Mundo Conhecido / A Terra Prometida,,Subst. Fem.,,,,,"Literalmente ""Terra da Verdade"".",
Mato-Yoma,,Marinheiro de Guerra / Fuzileiro,,Subst. Masc.,,,,,Para separar do marinheiro comum (Yara-mato).,
Joma-Nutais,,A Bíblia / Livro dos Deuses,,Subst. Neutro,,,,,Título literário religioso.,
Sifa-Wana,,Espada Sagrada / Relíquia Divina,,Subst. Fem.,,,,,"Trata-se de um artefato único, não uma espada mágica comum (Hekasifa).",
Hēt-Senra,,Pacto de Sangue / Vínculo de Alma,,Subst. Masc.,,,,,A união inquebrável (Coração + Irmão de vida).,
Ushē-Kruk,,Lobisomem / Besta da Noite,,Subst. Masc.,,,,,Entidade mítica de Leovalis.,
Abol-Zarakura,,O Forasteiro / Alienígena,,Subst. Masc.,,,,,"""Aquele que vem de fora de Zarakura"".",
Tiu-Kouji,,Brisa (Termo poético),,Subst. Masc.,,,,,Usado na literatura para se referir ao dom de Auray-ctun.,
Neba-Baza,,Mestre da Guilda de Comércio,,Título,,,,,Senhor do Mercado (Cargo político).,
Eshala,,Embora / Ainda que,,Conjunção,,,,,Aglutinação: Esha (Se) + Ala (Mas).,
Teran,,Senão / Do contrário,,Conjunção,,,,,Aglutinação: Tera (Então) + An (Não).,
Hosna,,Assim como / Tal qual,,Conjunção,,,,,Aglutinação: Hos (Como) + Na (Bom).,
Anta,,Enquanto / Durante,,Conjunção,,,,,Nova: Da raiz copta Hent.,
Jeahos,,Contanto que / Desde que,,Conjunção,,,,,Aglutinação: Jea (Que) + Hos (Como).,
Auha,,Além disso / E também,,Conjunção,,,,,Aglutinação: Au (E) + Hau (Mais).,
Vea,,Tanto faz / Qualquer (Opção),,Conjunção,,,,,Nova: Alternativa rápida para Ea (Ou).,
Mut,,"Nem (Nem isso, nem aquilo)",,Conjunção,,,,,Nova: Da raiz copta Mpe (negação dupla).,
Nuta,,Logo / Portanto (Conclusão),,Conjunção,,,,,Nova: Relacionado com lógica e destino (Numa).,
Fasa,,Até que,,Conjunção,,,,,Nova: Derivado de Fas (Ciclo/Fase).,
Bira,,Através de / Pelo meio,,Preposição,,,,,Nova: Movimento de atravessar.,
Kauia,,Ao redor de / Em volta,,Preposição,,,,,Aglutinação: Kau (Meio) + -ia (Lugar).,
Rasa,,Contra / Em oposição a,,Preposição,,,,,Nova: Derivado de Rasi (Sul/Abaixo).,
Ehro,,Além de / Mais longe que,,Preposição,,,,,Aglutinação: Variação de Ehra (Acima).,
Khash,,Perto de / Próximo a,,Preposição,,,,,"Nova: Como Lē, mas para conceitos abstratos ou tempo.",
Pahu,,Atrás de / Atrás,,Preposição,,,,,Nova: Da raiz copta Pahou.,
Hojan,,Diante de / Perante,,Preposição,,,,,Aglutinação: Hoja (Rosto/Face) + En (Em).,
Sula,,Seguindo / Ao longo de,,Preposição,,,,,Aglutinação: Derivado de Suli (Rastro/Sulco).,
Abolna,,A respeito de / Sobre (um tema),,Preposição,,,,,Aglutinação: Abol (De) + Na (Bem).,
Menan,,Exceto / Sem considerar,,Preposição,,,,,Aglutinação: Mena (Depois) + An (Não).,
Tika,,Rapidamente / Depressa,,Advérbio,,,,,"Nova: Som percussivo, similar a Taka (Ataque).",
Moni,,Lentamente,,Advérbio,,,,,Aglutinação: De Mona (Lento).,
Jori,,Fortemente,,Advérbio,,,,,Aglutinação: De Jora (Forte).,
Suri,,Fatalmente / Mortalmente,,Advérbio,,,,,Aglutinação: De Sura (Morte/Vazio).,
Nafi,,Belamente / Muito bem,,Advérbio,,,,,Aglutinação: De Nefa (Belo) + sufixo adverbial -i.,
Kaku,,Secretamente / Às escuras,,Advérbio,,,,,Aglutinação: De Kaki (Trevas).,
Pouan,,Atualmente / Hoje em dia,,Advérbio,,,,,Aglutinação: Poua (Hoje) + An.,
Tash,,Constantemente / O tempo todo,,Advérbio,,,,,Nova: Ação contínua.,
Safan,,Antigamente / No passado,,Advérbio,,,,,Aglutinação: Safa (Ontem) + An.,
Jen,,Longe,,Advérbio,,,,,Aglutinação: Je (Lá) + En (Em).,
Taia,,De perto / Aqui mesmo,,Advérbio,,,,,Aglutinação: Tai (Aqui) + -a.,
Enea,,Quase / Por pouco,,Advérbio,,,,,Nova: Derivada de Ene (Sempre).,
Zani,,Nunca mais / De jeito nenhum,,Advérbio,,,,,Aglutinação: Zan (Nada) + -i.,
Ashi,,Certamente / Sem dúvida,,Advérbio,,,,,Nova: Afirmação forte.,
Boni,,Apenas / Somente,,Advérbio,,,,,Nova: Exclusão.,
Tumi,,Junto / Em conjunto,,Advérbio,,,,,Nova: Ação coletiva.,
Feni,,Exageradamente,,Advérbio,,,,,Aglutinação: De Feno (Demais).,
Shani,,Levemente / Um pouco,,Advérbio,,,,,Aglutinação: De Shan (Menos).,
Hosi,,Igualmente / Do mesmo modo,,Advérbio,,,,,Aglutinação: De Hos (Como).,
Ruti,,De repente / Subitamente,,Advérbio,,,,,Nova: Surpresa.,
Nim,,Alguém,,Pronome,,,,,Aglutinação: Encurtamento de Nima (Quem).,
Asho,,Algo / Alguma coisa,,Pronome,,,,,Aglutinação: Encurtamento de Asha (O que).,
Nimzan,,Ninguém,,Pronome,,,,,Aglutinação: Nima (Quem) + Zan (Nada).,
Holnim,,Todos / Todo mundo,,Pronome,,,,,Aglutinação: Holo (Tudo) + Nim (Alguém).,
Ipan,,Si mesmo (Reflexivo),,Pronome,,,,,"Aglutinação: De Ipa (Mesmo). ""Ele feriu a si mesmo"".",
Alyan,,Os outros / Os demais,,Pronome,,,,,Aglutinação: De Alya (Outro).,
Keta,,Cada / Cada um,,Pronome,,,,,Nova: Distributivo.,
Uera,,Vários / Diversos,,Pronome,,,,,Aglutinação: De Uer (Quantos).,
Mashi,,Qualquer / Qualquer um,,Pronome,,,,,Nova: Indefinido abrangente.,
Eshan,,Ambos / Os dois,,Pronome,,,,,Nova: Conceito dual muito usado em Carnenia.,
Lelaia,,Liso / Escorregadio,,Adjetivo,,,,,Aglutinação: De Lela (Macio).,
Kosaia,,Áspero / Rugoso,,Adjetivo,,,,,Aglutinação: De Kosa (Seco).,
Jafria,,Indiferente / Apático,,Adjetivo,,,,,Aglutinação: Mente fria (Jafra).,
Homina,,Caloroso / Acolhedor,,Adjetivo,,,,,Aglutinação: Homa (Quente) + Mina (Mente).,
Jolna,,Falso / Traiçoeiro (Pessoa),,Adjetivo,,,,,Aglutinação: Jol (Mentira) + Na (Tendência a).,
Maana,,Justo / Correto,,Adjetivo,,,,,Aglutinação: Maa (Verdade) + Na.,
Hētna,,Generoso / Bondoso,,Adjetivo,,,,,Aglutinação: Hēt (Coração) + Na.,
Kashna,,Cruel / Sádico,,Adjetivo,,,,,Aglutinação: Kash (Dor) + Na.,
Balana,,Atento / Observador,,Adjetivo,,,,,Aglutinação: Bala (Olho) + Na.,
Somania,,Cansativo / Exaustivo (Tarefa),,Adjetivo,,,,,Aglutinação: Soma (Sono/Cansaço) + -ia.,
Korana,,Bravo / Destemido,,Adjetivo,,,,,Aglutinação: Kora (Coragem) + Na.,
Humana,,Assustador / Aterrorizante,,Adjetivo,,,,,Aglutinação: Huma (Medo) + Na.,
Tupia,,Denso / Espesso (Névoa ou Floresta),,Adjetivo,,,,,Nova: Sensação de peso/densidade.,
Fania,,Raro / Incomum,,Adjetivo,,,,,Nova: Exclusividade.,
Renia,,Comum / Vulgar / Simples,,Adjetivo,,,,,Nova: O oposto de Fania.,
Vashia,,Inconstante / Mutável,,Adjetivo,,,,,Aglutinação: Da Vash (Maré).,
Koria,,Profundo,,Adjetivo,,,,,Aglutinação: Do Kori (Âmago/Fundo).,
Artia,,Raso / Superficial,,Adjetivo,,,,,Aglutinação: O oposto de profundo (ligado ao Artē de forma irônica).,
Zavia,,Valioso / Precioso,,Adjetivo,,,,,Aglutinação: De Zava (Riqueza/Tesouro).,
Zajian,,Frágil / Quebradiço,,Adjetivo,,,,,Aglutinação: Quebra fácil como Zaji (Vidro).,
